CID,Melting Point
9878,292-303
9878,297.0 °C
9878,297°C
236702,247.5 °C
3385,"Decomposes at 540-541° F (EPA, 1998)"
3385,282-283
3385,283.0 °C
3385,282 °C (decomposes)
3385,280-282°C
1135,316.0 °C
1135,320°C
10006,220.0 °C
12009,237.0 °C
5838,173.0 °C
5842,172.0 °C
2164,"313 to 316 °F (NTP, 1992)"
2164,157.0 °C
2164,157 °C
6464,141.0 °C
6464,140-141.5 °C
6464,141°C
11374,195.0 °C
7541,"318 to 320 °F (NTP, 1992)"
7541,160.0 °C
7541,159-160 °C
13450,104.0 °C
13450,104 °C
15951,101.0 °C
15951,100-101 °C
22563,133.0 °C
22563,136 °C
22563,135-137°C
4929,119.0 °C
4929,119 °C
30773,168.0 °C
30773,167.5-169 °C
30773,168 °C
36584,123.5 °C
2901,"330 °C, DECOMP"
8496,"653 °F (USCG, 1999)"
8496,347.0 °C
8496,347 °C
8496,"Triple point temperature and pressure = 619.15 K (estimated to be equal to the melting point), 2.8020X10+3 Pa"
8496,Melting point = 619.15 K (determined in sealed tube)
8496,345-348 °C
10365,249.0 °C
7493,254.0 °C
10367,252°C
10273,256.0 °C
10366,324.0 °C
938,"457 °F (NTP, 1992)"
938,236-239
938,236.6 °C
938,237 °C
938,"Mol wt: 139.11. Needles; MP: 254-255 °C. Slightly soluble in cold water, more soluble in hot water, hot glacial acetic acid, hot methanol, less soluble in ethanol. Insoluble in light petroleum, benzene, chloroform. UV max (0.1N H2SO4): 220, 260 nm (epsilon 22400, 10200) /Nicotinic acid, 1-oxide/"
938,236.6°C
117629482,236.6°C
6580,121.0 °C
6580,119-120 °C
6580,120 °C
69632,89.0 °C
11364,103.0 °C
4931,77.0 °C
4931,77 °C
4931,Decomp temp: 170 °C
1988,10.6 °C
5257127,262.2°C
750,"451 °F (NTP, 1992)"
750,290 °C decomposes
750,MP: 189 °C /(C2H5NO2)2.HCL/
750,262.2°C
17100,37.0 °C
17100,35-40 °C
17100,Viscous at room temperature; mp: 40-41 °C /d-isomer/; congealing point: +2 °C
10973,67.0 °C
7438,"208 °F (NTP, 1992)"
2735009,"291 °F (NTP, 1992)"
2735009,78.0 °C
2735009,68-71 °C
643460,"274.1 °F (NTP, 1992)"
643460,134.5 °C
643460,"Between 133 °C and 135 °C, after vacuum drying for four hours in a sulphuric acid desiccator"
643460,134.5°C
6214,"Sublimes (NTP, 1992)"
6214,187.0 °C
6214,Sublimes
6214,368.2°F (sublimes)
6214,368°F (Sublimes)
23322899,95.8°C
743,"207.5 °F (NTP, 1992)"
743,97.5-98 °C
743,95.8°C
743,98 °C
1110,"363 to 365 °F (NTP, 1992)"
1110,188.0 °C
1110,"185,0-190,0 °C"
1110,188 °C
1110,185-188°C
21952380,185-188°C
4727,198.5°C
4871804,198.5°C
4303221,198.5°C
3799362,198.5°C
196,"304 °F (USCG, 1999)"
196,153.2 °C
196,"151,5-154,0 °C"
196,151.5 °C
196,151-154°C
196,152 °C
196,304°F
22494954,151-154°C
525,131.0 °C
525,127-132 °C
525,130.97 °C  /OECD Guideline 102 (Melting point / Melting Range)/
525,Crystals; MP: 101 °C /D(+)-Form/
996,"109 °F (NTP, 1992)"
996,"109 °F (NIOSH, 2016)"
996,"109 °F (EPA, 1998)"
996,40.9 °C
996,40.91 °C
996,40.9°C
996,41 °C
996,109°F
20488062,40.9°C
4162,74-77 °C
5360521,"172 to 174 °F (EPA, 1998)"
5360521,78-79 °C
5360521,78 °C
5360521,172°F
7935,"145 to 147 °F (NTP, 1992)"
7935,63.5 °C
7935,62-63 °C
7935,145-147°F
31242,45.0 °C
31242,46 °C
31242,44.00to46.00°C.@760.00mmHg
7269,"174.6 °F (NTP, 1992)"
7269,79.3 °C
4685,"127 °F (NTP, 1992)"
4685,52.09 °C
4685,53.1 °C
4685,52.7°C
4685,53 °C
4685,128°F
2294,190.0 °C
101,108.0 °C
359,218.5 °C
359,218.5°C
4099,150.5 °C
4099,150.5°C
7470,"356 to 360 °F (NTP, 1992)"
7470,179.6 °C
7470,181°C
12136,88.0 °C
13709,"102 to 104 °F (EPA, 1998)"
13709,39.0 °C
13709,39 °C
13709,102-104°F
3767,"340.5 °F (NTP, 1992)"
3767,171.4 °C
3767,171.4°C
3767,170-173 °C
2479,166.5 °C
2479,165-168 °C
2479,166.5°C
9935,126.5 °C
227,"291 to 295 °F (NTP, 1992)"
227,145.0 °C
227,144-146 °C
227,146.5°C
227,146-148 °C
7420,202.0 °C
7420,202°C
5364079,160.5 °C
5364079,160-161 °C
5364079,Peach color; mp: 159-160 °C /Technical/
980,"235 to 239 °F (Sublimes) (NTP, 1992)"
980,113.8 °C
980,113-114 °C
980,113.8°C
980,111-116 °C
980,235-239°F (sublimes)
6946,"160.7 °F (NTP, 1992)"
6946,71.0 °C
6946,Heat of fusion at melting point = 16.1 kJ/mol
6946,71 °C
6908,166.5 °C
11137,"205 to 208 °F (NTP, 1992)"
11137,96.8 °C
798,52.5 °C
798,52 °C
798,Heat of Formation= 1.5660X10+8 J/kmol; Heat of Fusion at the Melting Point= 9.0000X10+6 J/kmol
798,52.5°C
8275,109.0 °C
8275,108-110 °C
12124,"406 °F (NTP, 1992)"
12124,147.0 °C
11461,107.0 °C
11461,110.5°C
11972,208.0 °C
11370,101.0 °C
11370,106°C
6973,151.0 °C
1982,88.0 °C
1982,82-89 °C /Technical grade 82-90% purity/
1982,92-93 °C
7449,58.5 °C
8434,117.0 °C
8434,"ofp-hydroxybenzoic acid isolated by acidification and not recrystallised: 213 °C to 217 °C, after vacuum drying in a sulphuric acid desiccator"
8434,117 °C
8434,116°C
4075,"536 °F (decomposes) (NTP, 1992)"
4075,283.0 °C
4075,283 °C
4075,283°C
8499,49.0 °C
8499,48°C
3469,199.5 °C
3469,199.5°C
73942,157.0 °C
10518,174.0 °C
10518,174°C
7175,"203 to 208 °F (NTP, 1992)"
7175,97.0 °C
7175,96.1 °C
7175,96-97°C
13041,32.8 °C
6940,150.0 °C
22544,35.0 °C
22544,35 °C
22544,32 °C
2087,"219 °F (NIOSH, 2016)"
2087,"219° F for pure product. 120 to 140° F for technical product. (EPA, 1998)"
2087,"464 to 468 °F (EPA, 1998)"
2087,104 °C
2087,MP: 40-60 °C /TECHNICAL GRADE ALDRIN/
2087,240-242 °C
2087,104-105 °C
2087,219°F
4542,223.0 °C
4542,205-207 °C
1043,139.5 °C
83975,69.0 °C
83975,68-70 °C
83975,MP: 60-80 °C /Technical/
83975,60-80 °C
464,191.5 °C
464,187-191°C
8800,"338.9 to 340.7 °F (NTP, 1992)"
8800,170.5 °C
8800,170.5-171.5 °C
11087,"297 to 298 °F (NTP, 1992)"
11087,147.5 °C
2284,"372 to 376 °F (NTP, 1992)"
2284,207.0 °C
2284,206-208°C
5216,"437 to 441 °F (NTP, 1992)"
5216,226.0 °C
5216,225 to 227 °C (decomp)
5216,437-441°F
54676860,168.5 °C
7095,"156 to 160 °F (NTP, 1992)"
7095,69.0 °C
7095,69 °C
7095,71°C
7095,70 °C
7095,156°F
5447130,"457 to 464 °F (decomposes) (NTP, 1992)"
5447130,238°C
5447130,457-464° F
4937,213.0 °C
4937,229.7 °C
4937,213 °C
33565,155 °C (decomposes)
15629,81.5 °C
15629,80-83 °C
15629,Brownish flakes; faint smell of amine; vapor pressure 1.1X10-5 mm Hg at 20 °C; MP: 75-78 °C /technical grade 92% AI/
7320,182.8 °C
1489,118.0 °C
1489,118-120 °C
30951,92.5 °C
20902,238.0 °C
3637,172-173 °C
3637,172.5 °C
3637,172-173°C
3030,"237.2 to 240.8 °F (USCG, 1999)"
3030,115.0 °C
3030,114.9 °C
3030,MP: 114-116 °C
3030,114-116 °C
7551,75.0 °C
7551,75-76 °C
2478,"237 to 244 °F (NTP, 1992)"
2478,106-107
2478,114-118 °C
2478,287°C
6805,161.0 °C
6805,161 °C
4919,86.0 °C
4919,85.5 to 86.5 °C
4919,86°C
2566,"302 to 307 °F (EPA, 1998)"
2566,151.0 °C
2566,153.2 °C
2566,Melting point = 153-154 °C (pure); 150-152 °C (technical)
2566,150-152°C
2566,153 °C
2566,304°F
5572,114 °C
5572,258.5°C
16310,63.5 °C
15768,107.0 °C
1480,"316 °F (NTP, 1992)"
1480,153.0 °C
1480,153 °C
1480,153-158 °C
1480,316°F
1480,307°F
21307,91.5 °C
21307,"91.5 to 92.5 °C and 98 to 101 °C, reflecting two crystalline structures which revert to one in solution."
4411,130.0 °C
4411,124-136 °C
3661,113.5 °C
3661,118.5 °C
3661,MP: 108.5 °C. Specific rotation: -21 deg @ 20 °C/D (ethanol) /(-)-form/
5320,"360 to 363 °F (NTP, 1992)"
5320,183.0 °C
5320,183°C
8422,156.0 °C
8422,156°C
2519,"460 °F (NTP, 1992)"
2519,235-237
2519,238.0 °C
2519,236.2 °C
2519,238°C
2519,235 °C
4612,147-149 °C
4612,148.0 °C
4612,147-149°C
8271,176.0 °C
8271,176 °C
8271,176°C
568,"187 to 189 °F (NTP, 1992)"
568,86.5 °C
2474,107-108 °C
2474,107.5 to 108 °C
2474,107-108°C
5184,59.0 °C
5184,59 °C
5184,White powder; mp: about 80 °C; specific rotation: -14 deg at 20 °C/D (water) /N-oxide/
4168,171-173
4168,147.25 °C
4168,146.5-148 °C
4168,147.25°C
4053,"356 to 358 °F (decomposes) (NTP, 1992)"
18752,144.0 °C
18752,144.2 °C
18752,MP: 143-144 °C (decomposes)
135398513,255.0 °C
135398513,256.5-257 °C
135398513,MP: Decomposes
135398513,256.5-257°C
4756,139.0 °C
4756,139 °C
6954,"252 °F (NIOSH, 2016)"
6954,"251 to 253 °F (NTP, 1992)"
6954,122.5 °C
6954,121 °C
6954,122 °C
6954,252°F
2151,109.0 °C
4386,183.5 °C
3759,105-106 °C
3759,105.5 °C
3759,105-106°C
4757,176.5 °C
40087,210.5 - 212.5 °C (decomposes)
5505,"262 to 264 °F (NTP, 1992)"
5505,128.5 °C
5505,128.5-129.5 °C
5505,"MP: 41-43 °C; when anhyd, mp range is 130-133 °C /Sodium salt tetrahydrate/"
5505,128.5°C
86367,75.9 °C
86367,76°C
93583,114.5 °C
36339,67.0 °C
135398740,250 °C (decomposes)
135398740,"Crystalline monohydrate from water, MP: 248-249 °C (decomposes)"
135398740,250°C
4100,213.5 °C
4100,213-214 °C
6604200,"514 °F (decomposes) (NTP, 1992)"
6604200,223-228
6604200,263.0 °C
6604200,263 °C
4130,"99 to 100 °F (EPA, 1998)"
4130,35.5 °C
4130,35.8 °C
4130,MP: 37-38 °C
4130,35-38 °C
4130,99°F
33360,71.0 °C
33360,70-72 °C
33360,MP: 69-71 °C (technical grades)
191,"500 to 518 °F (NTP, 1992)"
191,257.0-257.5 °C (0.4 H2O)
3394,110-111 °C
3394,110.5 °C
3394,110-111°C
2082,208-210
2082,209.0 °C
2082,208-210 °C
2082,Mol wt: 281.34. Active metabolite of albendazole. MP: 226-228 °C (decomposes) /Sulfoxide/
2082,209°C
6336,63 to 68 °C
13763145,222.0 °C
6670,180.0 °C
5509,155-157 °C (DECOMPOSES)
5509,156°C
3059,210-211
3059,215.5 °C
3059,210-221°C
17097,"-2 °F (NIOSH, 2016)"
17097,-2°F
4011,93.0 °C
4011,93°C
6294,"228 to 230 °F (NTP, 1992)"
6294,109.5 °C
6294,109-110 °C
3019,330.5 °C
3019,330.5°C
11852,"445.1 °F (NTP, 1992)"
11852,229.5 °C
11852,230 °C
5359,124.3 °C
5359,124.3°C
2554,189-192
2554,190.2 °C
2554,190.2°C
3371,133.5 °C
5569,"115 to 117 °F (NTP, 1992)"
5569,49.0 °C
5569,42 °C
5569,MP: 48.5-49 °C (technical >95%)
5569,49 °C
5584,45.0 °C
5584,45°C
3345,83-84
3345,87.5 °C
3345,85.2 °C
3345,White crystalline powder; MP: 149-151 °C; bitter taste. Soluble in methanol; slightly soluble in chloroform /Fentanyl citrate/
3345,87.5°C
9154,"230 °F (NTP, 1992)"
9154,107.8 °C
9154,110.2 °C
28780,"Decomposes before melting (NTP, 1992)"
28780,140 °C (decomposes)
28780,140°C
28780,No melting point; decomposes at 140 °C
28780,>572°F (decomposes)
28780,>572°F (Decomposes)
5355,178°C
65394,112.0 °C
1065,177 °C (some decomposition)
1065,"Microcrystalline powder; mp: 57 °C; efflorescent; loses one water molecule in air, two water molecules over sulfuric acid; anhydrous at 125 °C /Quinine trihydrate/"
34586,163.0 °C
3295,188-190.5
3295,189.0 °C
3295,188-190.5 °C
3295,189°C
34469,124.0 °C
3114,94.5-95 °C
3114,94.75 °C
3114,94.5-95°C
5330,182.5 °C
21330,120.0 °C
21330,119.5 to 121.5 °C
5343,243.0 °C
6292,120.0 °C
6292,120 °C
4506,225.0 °C
4506,225°C
5322,166.5 °C
5322,166.5-168 °C
5322,MP: 104 °C /Monohydrate/
5322,166.5°C
51081,271°C
6919009,271°C
29393,141.0 °C
29393,137-138 °C
29393,Mp: 141-142 °C /Technical oryzalin/
3964,109-111 °C
3964,109.5 °C
3964,109-110 °C
3964,109-110°C
2268,"163 to 165 °F (EPA, 1998)"
2268,73.0 °C
2268,73-74 °C
2268,"Cream to yellow-brown granular solid, MP: 67-70 °C /Technical/"
2268,163°F
4030,"551.3 °F (NTP, 1992)"
4030,288.5 °C
4030,288.5°C
2265,"469 to 471 °F (decomposes) (NTP, 1992)"
2265,243.5 °C
2265,dec 243-244 °C
2265,243.5°C
40476,83.0 °C
11714234,104.0 °C
6001,"252 to 253 °F (NTP, 1992)"
6001,122.5 °C
6001,123 °C
153985,188.0 °C
2720,"648 to 649 °F (Decomposes) (NTP, 1992)"
2720,342.5-343
2720,Decomposes at 342.5-343 °C
2720,350°C
667467,153-154
667467,97.5 °C
667467,97-98 °C
667467,CRYSTALS; MP: 221 °C /CHLORPROTHIXENE HYDROCHLORIDE/
13763149,242.5 °C
6035168,73.0 °C
3288597,250-257°C
4583,250-257 °C (decomposes)
4583,250-257°C
5401,271-274
5401,273.0 °C
5401,273°C
2833,"288 to 302 °F (EPA, 1998)"
2833,150-160
2833,156.0 °C
2833,142-150 °C
2833,156°C
2118,228-229.5 °C
2118,228-228.5 °C
2118,228-228.5°C
9142,274.0 °C
9142,273-274 °C
9128,"352 to 354 °F (NTP, 1992)"
9128,177.5 °C
9128,178-179 °C
345512,"347 to 349 °F (NTP, 1992)"
345512,175-176 °C
8289,"122 to 124 °F (NTP, 1992)"
8289,50.5 °C
8289,49.39 °C
8289,49-50 °C
8289,122-124°F
8289,120°F
5452,73.0 °C
5452,72-74 °C
5452,"MP: 158-160 °C. UV max (water): 262, 310 nm (epsilon 41842, 3215); (95% ethanol): 264, 310 nm (epsilon 41598, 3256); (0.1N HCl): 264, 305 nm (epsilon 42371, 5495): (0.1N NaOH): 263 nm (epsilon 18392). Soluble in water (1 in 9); freely soluble in ethanol (1 in 10), methanol, chloroform (1 in 5). Insoluble in ether /Thioridazine hydrochloride/"
5452,73°C
5556,233-235 °C
5556,233-235°C
4121,225.0 °C
4121,225 °C
4121,225°C
56160,181 °C
54676228,198-200 °C
54676228,199.0 °C
54676228,198-200°C
2662,157-159
2662,158.0 °C
2662,157-159 °C
2662,101.7-103.9°C
54676038,290.0 °C
54676038,287-293 °C
54676038,290°C
54677470,254 °C (decomposes)
54677470,254°C
34633,156-157 °C
34633,156.5 °C
34633,156-157°C
91766,169-172 °C (decomposes)
9115,437.3 °C
5280754,"298 to 304 °F (NTP, 1992)"
5280754,149.5 °C
5280754,148-151 °C
8010,"90 °F (EPA, 1998)"
8010,32.0 °C
8010,32 °C
8010,30-34 °C
8010,90°F
6213,109.0 °C
6213,109°C
9732,48.0 °C
445354,"144 to 147 °F (NTP, 1992)"
445354,63.5 °C
445354,62-64 °C
445354,"Pale yellow prismatic crystals from methanol; mp: 57-58 °C; UV max (ethanol): 326 nm (E=1,550, 1%, 1 cm) /Retinol acetate/"
445354,"Amorphous or crystalline; mp: 28-29 °C; UV max (ethanol); 325-328 nm (E=975, 1%, 1 cm) /Retinol palmitate/"
445354,61-63°C
4650,"240.3 °F (NTP, 1992)"
4650,115.7 °C
4650,Heat of fusion at melting point = 1.845X10+7 J/kmol
4650,115.7°C
4650,116 °C
4650,240°F
6488,"244 °F (NTP, 1992)"
6488,118.0 °C
6488,116-119 °C
7933,"91 °F (NTP, 1992)"
7933,32.6 °C
7933,33.5 °C
7933,33 °C
3225,144.0 °C
3225,Converted to anhydride at 90 °C
3225,Colorless crystals. MP: 144 °C /Endothall monohydrate/
12150,66.5 °C
12150,66-67°C
12760,253.0 °C
3950,88-90 °C
3950,89.0 °C
3950,90 °C
3950,88-90°C
2723,112-116 degrees Celsius
2723,115.0 °C
2723,115.5 °C
3090,138.5 °C
12086,112.5 °C
12086,112-113°C
98487,134.0 °C
10894,93.5 °C
88631,106.5 °C
26951,60.0 °C
17040,79.5 °C
71815,76.0 °C
14306,68.0 °C
19588,31.5 °C
21322,140.0 °C
445858,168-171°C
667490,308 °C (decomposes)
667490,313°C
92452,226.5 °C
68484,51.5 °C
1188,>300°C
22206,178.0 °C
22206,175.5 °C
6433,76.0 °C
4928,91.5 °C
4928,91 to 92 °C
39722,46.0 °C
25429,"576 to 585 °F (decomposes) (NTP, 1992)"
25429,Decomposes at 300 °C
25429,MP: 302-307 °C (decomposes)
25429,302-307°C
2708,"147 to 151 °F (NTP, 1992)"
2708,65.0 °C
2708,65 °C
2708,65°C
43359,33.0 °C
91677,67.65 °C
4253,254-256.4°C
42586,71-72 °C
42586,71-72°C
42586,159.8-161.6°F
54745,59.0 °C
2719,87-89.5
2719,87 °C
2719,289°C
610479,207ºC
610479,207.25 °C
610479,207-207.5°C
4560140,108.25 °C
4560140,105.5 °C
616765,165.5 °C
2663,120-122
2663,111.0 °C
34140,71 °C
17168,52.5 °C
17168,53 °C
71482,89.0 °C
24743,120.0 °C
3718,208-210
3718,213.5 °C
135433881,204.0 °C
93422,182.0 °C
12894,193.0 °C
12894,185°C
5284462,"203 to 207 °F (NTP, 1992)"
5284462,96.3333333333 °C
5284462,97-98 °C
5284462,Melting point = 94-97 °C
29732,90.0 °C
29732,90 °C
5391,119-121 °C
5391,120.0 °C
5391,119-121°C
135398737,183-184 °C
135398737,183.5 °C
135398737,183-184°C
4890,145-146 °C
4890,145.5 °C
4890,145-146°C
54678504,"349 °F (EPA, 1998)"
54678504,172.0 °C
54678504,172-176 °C
54678504,Yellowish crystals. MP: 166-172 °C /Technical/
6451138,107.0 °C
4594,156.0 °C
4594,156 °C
4594,156°C
53518,84.25 °C
53518,91.7-92.1 °C
91741,203.5 °C
91741,202-205 °C
86287521,196.5 °C
86173,76.0 °C
86173,78.6 °C
18771,225.0 °C
18771,220 °C
18771,225°C
2794,210-212 °C
2794,211.0 °C
2794,210-212°C
4666,"415 to 421 °F (NTP, 1992)"
4666,213-216 °C (decomposition)
8119,-37 °C
11675,100.7 °C
31246,"-27 °F (NIOSH, 2016)"
31246,-33.0 °C
31246,-33 °C
31246,-34°C
31246,-27°F
2130,180-192
2130,180.0 °C
2130,160-190 °C (closed tube); Also reported as 180-192 °C
2130,180°C
10535,67.0 °C
135404161,245.5 °C
10349,"232 to 234 °F (NTP, 1992)"
10349,117.5 °C
13849,52.3 °C
13849,52.3°C
11163,215°C
1548897,215°C
16554,138.0 °C
16554,138 °C (PURE)
16554,MP: 134-138 °C /Technical/
10465,61.3 °C
10465,61.3°C
5356793,301.0 °C
5356793,301°C
139057051,68.8°C
5281,"156.7 °F (NTP, 1992)"
5281,68.8 °C
5281,69.3 °C
5281,68.8°C
5281,69-72 °C
5281,156.7°F
11439,126.5 °C
6448,29.0 °C
10458,111.0 °C
10458,111°C
6994,38.0 °C
8861,121.5 °C
65040,270°C
7042,140.0 °C
7042,138 °C
7042,141 °C
4807,56.5 °C
4807,55.8 °C
20266,50.0 °C
20266,49-51 °C
4775,>150
4775,52.0 °C
4775,47-49°C
681,128.0 °C
681,128°C
12107,105.5 °C
12073,165.0 °C
12073,165°C
11897,90.0 °C
11892,132.0 °C
90895,100-150 °C
11915,66.0 °C
11915,66°C
15875,219.0 °C
6738,165.5 °C
11279,173.0 °C
560193,43.0 °C
560193,43 °C
560193,White waxy solid. Melting point ca 40 °C. /technical vamidothion/
560193,46-48 °C
1491,218-219°C
16133,60.5 °C
1066,228.5 °C
1066,190°C
1150,118.0 °C
1150,114-119°C
12038,44.0 °C
15560,"385 °F (NTP, 1992)"
11812,244.5 °C
30976,302.0 °C
76900,>360°C
84102,159.0 °C
32597,110.5 °C
2723601,"greater than 680 °F (NTP, 1992)"
2723601,>360 °C
2723601,GREATER THAN 360 °C
2723601,>360°C
4062,150.5 °C
4062,150.5°C
7038,42.0 °C
135438605,41.0 °C
74098,51.0 °C
73669,42.8 °C
16231,240.5-241.5
16231,241.0 °C
16231,240°C
74417,133.0 °C
3332,160.5 °C
346066,89.0 °C
86296,132.8 °C
91739,274.0 °C
91739,274 °C
6721,175.5 °C
3783,103.0 °C
408120,192.5°C
17776,26.0 °C
17776,26-27°C
17776,26-27 °C
2200,227-229
2200,120.0 °C
2200,120-122 °C
60490,144.2-145.2 °C
60490,144.2-145.2°C
5593,96.5 °C
5593,96.5°C
3308,146.5 °C
3308,145-148°C
16987,146.5 °C
3374,253-255 °C
3374,253-255°C
38687,120.0 °C
2581,195-199
2581,197.5 °C
2581,197.5°C
2950,"379 °F (NTP, 1992)"
2950,193.0 °C
2950,193 °C
2950,193°C
4539,227-228 °C
4539,227.5 °C
4539,220-221 °C
4539,227-228°C
6919051,227-228°C
54739,221.0 °C
54739,219-222 °C (decomposition)
3229,220-224 °C
3229,222.0 °C
3229,220-224°C
28230148,220-224°C
3735,155.2 °C
3735,MELTS WITH DECOMP BETWEEN 152 DEG & 158 °C
3735,"CRYSTALS; SPECIFIC OPTICAL ROTATION (ETHANOL, 2%): -5.2 +/- 0.1 DEG @ 20 °C/D; MP: 162-163 °C /L-ISOMER/"
3735,"CRYSTALS; SPECIFIC OPTICAL ROTATION (ETHANOL, 2%): +5.1 +/- 0.1 DEG @ 20 °C/D; MP: 162 °C /D-ISOMER/"
55492,300°C
3948,239-240.5 °C
3948,239.75 °C
3948,239-240.5°C
71188,220.0 °C
71188,219-221 °C
71188,219-221°C
6957639,219-221°C
4614,158-159 °C
4614,160.75 °C
4614,160.5 to 161.5 °C
4614,158-159°C
237296,120.0 °C
5280445,329.5°C
47491,176.0 °C
47491,176 °C
47491,MP: 174-178 °C
5280343,"601 to 603 °F (NTP, 1992)"
5280343,316.5 °C
5280343,316-318°C
4189,159-163°C
119607,160-162°C
2471,230-231
2471,230.5 °C
2471,230-231°C
3474,169.5 °C
2733526,97.0 °C
2733526,96-98 °C
2733526,MP: 72-74 °C from methanol. /Cis-Form base/
2733526,MP: 126-128 °C; C32-H37-N-08; ICI-47699 /Cis-Form citrate/
2733526,97°C
4192,161-164
4192,159.0 °C
4192,158-160 °C
4192,"Crystals from ethanol/ether, MP: 114-117 °C (solvated) /Midazolam maleate/"
4192,159°C
4893,277-280
4893,279.0 °C
4893,279°C
320760,"532 °F (decomposes) (NTP, 1992)"
3702,160-162
3702,161.0 °C
3702,161°C
2140,>250
2140,> 300 °C
73281,142.0 °C
73281,172 °C
73281,MP: 169-172 °C; 140-161 °C (technical)
5339,"464 to 473 °F (decomposes) (NTP, 1992)"
5339,220 °C (decomposes)
91625,118.0 °C
320761,260°C
54680085,"392 to 410 °F (EPA, 1998)"
54680085,198.3-199.8 °C (approximately 100% purity)
3739,306-308
3739,306-308 °C
3739,307°C
8182,"14.7 °F (NTP, 1992)"
8182,-9.6 °C
8182,-9.55 °C
8182,Heat of fusion: 36.8 kJ/mol at melting point
8182,-9.6°C
12389,"42.6 °F (NTP, 1992)"
12389,5.8 °C
12389,5.87 °C
11641,"-219.1 °F (NTP, 1992)"
11641,-137.8 °C
11641,-139.5 °C
11641,-219°F
8023,"-175 °F (USCG, 1999)"
8023,-115.8 °C
8023,-115 °C
3039,"183 °F (NTP, 1992)"
3039,-60.0 °C
3039,Less than -60 °C
3039,-60°C
3039,183°F
13836,"473 °F Decomposes (EPA, 1998)"
13836,239 °C (decomposes)
9570290,6.1 °C
30479,"257 °F (NIOSH, 2016)"
30479,126.0 °C
30479,126.2 °C
30479,125 °C
30479,257°F
34526,15.0 °C
34526,MP: 15-18 °C /Technical/
39985,40.0 °C
39985,39-41 °C
52999,162.0 °C
52999,163 °C
7368,"-20.4 °F (NTP, 1992)"
7368,-29.1 °C
7368,-29.05 °C
7368,Heat of fusion at melting point = 1.3782X10+7 J/kmol
674,"-135 °F (NTP, 1992)"
674,-92.2 °C
674,-93 °C
674,"Deliquescent leaflets; mp: 171 °C; very soluble in water; soluble in alcohol, chloroform; practically insoluble in ether /Dimethylamine hydrochloride/"
674,-92.2°C
674,-134°F
6421,"135 to 136 °F (NTP, 1992)"
6421,57.5 °C
6421,MP: >300 °C. Soluble in ethanol. /Sodium salt/
6421,57.5°C
6421,58 °C
6421,136°F
23223116,57.5°C
7523,-63.1 °C
7937,-6.1 °C
7937,-5.8 °C
7937,-6°C
31593,190-192
31593,189.0 °C
31420,268.0 °C
17885,242.0 °C
17886,161.0 °C
19590,192.0 °C
21201,156.0 °C
23139,157.0 °C
93552,220.0 °C
8369,"324 to 327 °F (NTP, 1992)"
8369,161.5 °C
8369,161-162°C
153311,59.0 °C
153311,59 °C
153311,White powder; mp: about 80 °C; specific rotation: -14 deg at 20 °C/D (water) /N-oxide/
5879,181.5 °C
5879,185°C
5881,140-141 °C
5881,140.5 °C
5881,140-141°C
144,298-300 °C (decomposes)
144,MP: 273 °C (decomposes); specific optical rotation: +16.0 deg at 22 °C (c=1 in 4M HCl); -32 deg at 22 °C (c=1 in H2O) /(S)-5-Hydroxytryptophan/
751,145°C
6268,149.0 °C
6270,"284 °F (EPA, 1998)"
6270,140.0 °C
6270,140 °C
6338,"-245 °F (NTP, 1992)"
6338,-153.7 °C
6338,-153.84 °C
6338,"NOTCHED IZOD IMPACT STRENGTH: 0.4-2.0 FT LB/IN; ROCKWELL HARDNESS: R110-R120; HEAT DISTORTION 264 LB/SQ IN: 60-80 °C; SPECIFIC HEAT: 0.2-0.28 CAL/G; LINEAR THERMAL EXPANSION COEFFICIENT, 1X10-5; 5.0-18 °C; MAX CONTINUOUS SERVICE TEMP: 70-74 °C; /UNMODIFIED, RIGID PVC/"
6338,-154 °C
6338,-256°F
6339,"-258 °F (USCG, 1999)"
6339,-160.5 °C
6339,-161 °C
6339,-257°F
6430,"-223 °F (NIOSH, 2016)"
6430,-99.4 °C
6430,-106°C
6430,-106 °C
6430,-223°F
6432,-147.6 °C
6432,-147.6°C
6555,-119.0 °C
6556,"-255.8 °F (NTP, 1992)"
6556,-159.9 °C
6556,-159.8 °C
6556,-160 °C
6556,-255.8°F
398,"-135 °F (NTP, 1992)"
398,-91.3 °C
398,-91 °C
398,-135°F
6622,131.0 °C
6651,158.25 °C
6651,158-159°C
3606,185-188 °C
3606,CRYSTALS; MP: 137-139 °C /DIACETATE/
3606,CRYSTALS FROM PETROLEUM ETHER; MP: 127-128 °C /DIPROPIONATE/
667476,233-234
667476,227-228 °C
667476,PRISMS FROM ALC; MP: 119-120 °C /DIENESTROL DIACETATE/
667476,SUBLIMES @ 130 °C @ 1 MM HG; THE SUBLIMATE MP: 231-234 °C
667476,MP: 179 °C; HAS NO ESTROGENIC ACTIVITY /DIENESTROL ISODIENESTROL/
6824,103.0 °C
6824,103 °C
6824,MP: 102-104 °C
3623,99.5 °C
892,237.25 °C
6953,"181 to 185 °F (NTP, 1992)"
6953,83.0 °C
6953,83 °C
6961,276.0 °C
638024,131.5 °C
638024,129°C
7280,"43 °F (NTP, 1992)"
7280,6.0 °C
7280,5 °C
7280,6 °C
7280,43°F
7289,"25 °F (NTP, 1992)"
